type_features,accuracy
"['Varianza', 'Minima_Ampiezza', 'CF']",96.59
"['Varianza', 'Minima_Ampiezza', 'rappA/G']",98.38
"['Varianza', 'Minima_Ampiezza', 'rappA/G', 'CF']",97.85
"['Varianza', 'Minima_Ampiezza', 'der']",98.38
"['Varianza', 'Minima_Ampiezza', 'der', 'CF']",98.74
"['Varianza', 'Minima_Ampiezza', 'der', 'rappA/G']",98.38
"['Varianza', 'Minima_Ampiezza', 'der', 'rappA/G', 'CF']",98.56
"['Varianza', 'Minima_Ampiezza', 'TF']",96.95
"['Varianza', 'Minima_Ampiezza', 'TF', 'CF']",97.67
"['Varianza', 'Minima_Ampiezza', 'TF', 'rappA/G']",98.2
"['Varianza', 'Minima_Ampiezza', 'TF', 'rappA/G', 'CF']",97.85
"['Varianza', 'Minima_Ampiezza', 'TF', 'der']",98.56
"['Varianza', 'Minima_Ampiezza', 'TF', 'der', 'CF']",98.38
"['Varianza', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G']",98.2
"['Varianza', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",98.38
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media']",98.22
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'CF']",98.2
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",98.38
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",98.2
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der']",97.85
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",98.2
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",98.03
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.03
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF']",98.2
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",98.38
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",98.56
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.38
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",98.2
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'CF']",98.38
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",98.2
"['Varianza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.74
"['Varianza', 'Massima_Ampiezza']",96.63
"['Varianza', 'Massima_Ampiezza', 'CF']",97.31
"['Varianza', 'Massima_Ampiezza', 'rappA/G']",98.38
"['Varianza', 'Massima_Ampiezza', 'rappA/G', 'CF']",97.85
"['Varianza', 'Massima_Ampiezza', 'der']",98.74
"['Varianza', 'Massima_Ampiezza', 'der', 'CF']",98.38
"['Varianza', 'Massima_Ampiezza', 'der', 'rappA/G']",98.38
"['Varianza', 'Massima_Ampiezza', 'der', 'rappA/G', 'CF']",98.92
"['Varianza', 'Massima_Ampiezza', 'TF']",98.03
"['Varianza', 'Massima_Ampiezza', 'TF', 'CF']",97.67
"['Varianza', 'Massima_Ampiezza', 'TF', 'rappA/G']",98.03
"['Varianza', 'Massima_Ampiezza', 'TF', 'rappA/G', 'CF']",98.03
"['Varianza', 'Massima_Ampiezza', 'TF', 'der']",97.67
"['Varianza', 'Massima_Ampiezza', 'TF', 'der', 'CF']",98.03
"['Varianza', 'Massima_Ampiezza', 'TF', 'der', 'rappA/G']",98.03
"['Varianza', 'Massima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",98.74
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media']",97.69
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'CF']",98.38
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",98.38
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",98.56
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'der']",98.03
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",97.85
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",98.38
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.2
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF']",98.2
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",98.38
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",98.38
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.38
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",98.03
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'CF']",98.56
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",97.85
"['Varianza', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.56
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza']",97.51
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'CF']",97.31
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'rappA/G']",97.49
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'rappA/G', 'CF']",98.03
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'der']",98.56
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'der', 'CF']",98.2
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'der', 'rappA/G']",98.92
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'der', 'rappA/G', 'CF']",98.2
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF']",97.49
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'CF']",97.31
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'rappA/G']",98.74
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'rappA/G', 'CF']",98.2
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der']",98.74
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der', 'CF']",98.74
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G']",98.74
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",98.56
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media']",98.58
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'CF']",98.56
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",98.92
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",98.03
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der']",98.03
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",98.03
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",97.67
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.74
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF']",98.38
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",98.74
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",99.1
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.74
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",98.74
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'CF']",98.2
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",98.38
"['Varianza', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.2
"['Varianza', 'Deviazione_Standard']",93.25
"['Varianza', 'Deviazione_Standard', 'CF']",96.77
"['Varianza', 'Deviazione_Standard', 'rappA/G']",96.77
"['Varianza', 'Deviazione_Standard', 'rappA/G', 'CF']",96.95
"['Varianza', 'Deviazione_Standard', 'der']",98.38
"['Varianza', 'Deviazione_Standard', 'der', 'CF']",98.2
"['Varianza', 'Deviazione_Standard', 'der', 'rappA/G']",98.2
"['Varianza', 'Deviazione_Standard', 'der', 'rappA/G', 'CF']",98.74
"['Varianza', 'Deviazione_Standard', 'TF']",94.79
"['Varianza', 'Deviazione_Standard', 'TF', 'CF']",96.59
"['Varianza', 'Deviazione_Standard', 'TF', 'rappA/G']",97.31
"['Varianza', 'Deviazione_Standard', 'TF', 'rappA/G', 'CF']",97.67
"['Varianza', 'Deviazione_Standard', 'TF', 'der']",98.38
"['Varianza', 'Deviazione_Standard', 'TF', 'der', 'CF']",98.74
"['Varianza', 'Deviazione_Standard', 'TF', 'der', 'rappA/G']",98.2
"['Varianza', 'Deviazione_Standard', 'TF', 'der', 'rappA/G', 'CF']",98.56
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media']",97.87
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'rappA/G']",98.03
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'rappA/G', 'CF']",98.74
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'der']",98.03
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'der', 'CF']",98.56
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'der', 'rappA/G']",98.03
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.2
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'TF']",98.2
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'TF', 'CF']",98.74
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'TF', 'rappA/G']",98.38
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.74
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'TF', 'der']",98.03
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'TF', 'der', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",97.49
"['Varianza', 'Deviazione_Standard', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.56
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza']",96.27
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'CF']",96.95
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'rappA/G']",97.13
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'rappA/G', 'CF']",97.31
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'der']",98.38
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'der', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'der', 'rappA/G']",98.56
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'der', 'rappA/G', 'CF']",98.74
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'TF']",97.31
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'CF']",96.95
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'rappA/G']",97.67
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'rappA/G', 'CF']",97.31
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'der']",98.92
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'der', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G']",98.38
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",98.56
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media']",98.05
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'CF']",98.03
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",98.2
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",98.74
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'der']",97.85
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",98.03
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.2
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF']",98.2
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",98.2
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",98.38
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",98.38
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'CF']",98.2
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",98.2
"['Varianza', 'Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.56
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza']",96.63
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'CF']",96.95
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'rappA/G']",97.13
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'rappA/G', 'CF']",97.85
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'der']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'der', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'der', 'rappA/G']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'der', 'rappA/G', 'CF']",98.74
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'TF']",97.31
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'CF']",98.03
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'rappA/G']",97.85
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'rappA/G', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'der']",98.56
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'der', 'CF']",98.92
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'der', 'rappA/G']",98.56
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media']",98.4
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'der']",97.67
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",97.85
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",97.85
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.2
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF']",98.03
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",98.74
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.2
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",98.56
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'CF']",98.03
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",98.56
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.56
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza']",97.51
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'CF']",97.31
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'rappA/G']",97.13
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'rappA/G', 'CF']",97.49
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'der']",98.03
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'der', 'CF']",98.56
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'der', 'rappA/G']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'der', 'rappA/G', 'CF']",98.56
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF']",97.31
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'CF']",97.67
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'rappA/G']",97.85
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'rappA/G', 'CF']",97.67
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der']",98.74
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der', 'CF']",98.74
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G']",98.92
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",98.74
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media']",98.58
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",98.56
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",98.2
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der']",98.03
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",98.2
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF']",99.1
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",99.1
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",98.92
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.38
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",97.85
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'CF']",98.74
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",98.56
"['Varianza', 'Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.56
